song,listener,score,left_bass,right_bass,left_drums,right_drums,left_other,right_other,left_vocals,right_vocals,remix_left,remix_right,remix_score
Detsky Sad - Walkie Talkie,L6053,0.1951684332826328,0.1350996841438669,0.1352706014026385,0.2438065900786954,0.2362373808197246,0.180038171659061,0.1914509019109356,0.2218586903078844,0.2175854459382559,0.9584242216238474,0.9560291458776676,0.9572266837507576
Enda Reilly - Cur An Long Ag Seol,L6010,0.233636681273965,0.1615444656723262,0.1665651752650103,0.0818383245365622,0.0916282024703729,0.3952557397051338,0.34002202334469,0.3308482173362773,0.3013913018613473,0.8728134527943147,0.8903697006000835,0.8815915766971991
Forkupines - Semantics,L6009,0.2651705157340901,0.1001400612129918,0.0832190049273747,0.2139729935217506,0.2054237662600833,0.4195657458850934,0.4318844773606978,0.339183680262025,0.3279743964427039,0.2651813694211619,0.2630059367715391,0.2640936530963504
Georgia Wonder - Siren,L6026,0.3384342823624708,0.2074350278109168,0.1861453398664307,0.3362582325208035,0.3720848500385004,0.4322003133724933,0.4292099719923254,0.3649598390125466,0.3791806842857499,0.547882827510775,0.3915608600541805,0.4697218437824777
Girls Under Glass - We Feel Alright,L6019,0.2909950763603992,0.0952113835823351,0.0937635939063007,0.2524320042092024,0.262810519737074,0.6376874645274877,0.4936860875689834,0.2512532723375013,0.2411162850143088,0.5096808806911304,0.6632187884303019,0.5864498345607161
Hollow Ground - Ill Fate,L6002,0.2237577362166175,0.1345302388604747,0.1379027419281228,0.1992010667067551,0.1930550515349049,0.2952330955524456,0.3356522043918111,0.2548843887300974,0.2396031020283288,0.871094314838947,0.9388582056124908,0.904976260225719
Hollow Ground - Ill Fate,L6001,0.2342357894077939,0.1403390326271332,0.1320275358906917,0.2059002477776345,0.1869463853003173,0.297125904682064,0.3315043352107582,0.2850176040769235,0.2950252696968289,0.7091003925009103,0.720705262802566,0.7149028276517382
James Elder & Mark M Thompson - The English Actor,L6028,0.2365427681252406,0.2080817859944447,0.2033264548610952,0.219713024078196,0.2207851855106384,0.3350803977674867,0.3133250814046191,0.1958908855780117,0.1961393298074331,0.876638605985683,0.7996170920277769,0.8381278490067299
Juliet's Rescue - Heartbeats,L6046,0.2302645001879247,0.1729743159921176,0.1821592303243059,0.1956675258144911,0.2068330536311801,0.2981164531939011,0.3033991296396449,0.2509862977032963,0.2319799952044607,0.7685534602611033,0.8188119784828435,0.7936827193719733
Little Chicago's Finest - My Own,L6031,0.2227349730315217,0.124022042892348,0.1328408719102852,0.2121492181781924,0.2233120725842503,0.2361755010678025,0.2769610551073039,0.2903568422760771,0.2860621802359142,0.6896130855993102,0.6594939846908693,0.6745535351450898
Louis Cressy Band - Good Time,L6032,0.3343980425706272,0.1557172471839999,0.1750349583480087,0.1820267682919213,0.1785046578348516,0.5688287030408566,0.5896047561304416,0.4116054068536991,0.4138618428812384,0.6021024152529281,0.4816049782865662,0.5418536967697472
Lyndsey Ollard - Catching Up,L6034,0.3314705020249579,0.2143635095878664,0.201153249687793,0.2114905043577504,0.2014515789550004,0.3860064479488037,0.3907314765208268,0.5622891105939032,0.4842781385477192,0.4790175711914028,0.7617291866598499,0.6203733789256264
M.E.R.C. Music - Knockout,L6038,0.238251834685705,0.1736104595295737,0.1682861354267616,0.226512448719196,0.2338524456996361,0.2325313798741974,0.2320183069552516,0.3163318376617881,0.3228716636192358,0.8596330415776374,0.7466408712868569,0.8031369564322471
Moosmusic - Big Dummy Shake,L6047,0.2359508830919065,0.1863391245144803,0.1897119951729425,0.2186567275828762,0.2163944940835249,0.2923765519688109,0.3123589872568815,0.2353951947040503,0.2363739894516857,0.5331245770646973,0.4802540985569191,0.5066893378108082
Motor Tapes - Shore,L6043,0.2071380582340823,0.1770295942046734,0.175643032697239,0.1852524653981441,0.1836430198372532,0.38029779797464,0.3803269825922999,0.0811004187385075,0.0938111544299016,0.7909452438409802,0.8857709517851882,0.8383580978130842
Mu - Too Bright,L6021,0.3516780059314424,0.2235771549036951,0.2121800796492942,0.3406560887712965,0.3486272725255559,0.360667262599639,0.3200152104684587,0.5186067959888315,0.4890941825447683,0.6427725867572489,0.7139812963103935,0.6783769415338212
Nerve 9 - Pray For The Rain,L6004,0.2888498593795182,0.1168367430767806,0.1518247096131382,0.1768543612104171,0.22491109339767,0.4537981144363546,0.5002610376864649,0.3577110606161984,0.328601754999122,0.5845784533096005,0.4284597670870703,0.5065191101983354
PR - Happy Daze,L6025,0.2500280376643442,0.1845821814508957,0.1713662394077215,0.5794884622373007,0.5775947785731522,0.1875899817480021,0.1921763603615761,0.0497324575847747,0.0576938399513304,0.3857505861935996,0.5079799072830985,0.446865246738349
PR - Oh No,L6014,0.2327099218536795,0.0829278714261192,0.1033040012710759,0.3511314753508392,0.4434684404486329,0.2646217720620203,0.2901478184054047,0.1466621003714794,0.1794158954938642,0.8765210666780292,0.7103874430677479,0.7934542548728886
Raft Monk - Tiring,L6027,0.2138277226878976,0.1234192902070873,0.1328424675548524,0.1873655416328721,0.1889027817434304,0.3204203358113685,0.3186845357897349,0.2190257482487601,0.219961080515075,0.9377718828740546,0.6179803460543128,0.7778761144641837
Sambasevam Shanmugam - Kaathaadi,L6005,0.331757812456537,0.1569481031930013,0.1606222807308869,0.2151985653177482,0.2039205623658169,0.3587791838048209,0.4317731448451981,0.5604909081752254,0.566329751219598,0.4870119082654799,0.3610799405256833,0.4240459243955816
Secretariat - Borderline,L6039,0.2462676192227211,0.1250066849977673,0.1244154514006771,0.1964720684201207,0.2014067789327845,0.3699623087714793,0.3991227623758381,0.2853993834896294,0.2683555153934726,0.5539926028242222,0.6758574406869672,0.6149250217555947
Secretariat - Over The Top,L6044,0.2525053978366265,0.1222130668684394,0.1123339821660415,0.2199512474217334,0.217082018731505,0.3894285315741204,0.4085445898559818,0.2688028912778621,0.2816868547973287,0.9371179104763874,0.907156163983806,0.9221370372300968
Side Effects Project - Sing With Me,L6022,0.3281391277304694,0.1690292560711549,0.169986024535051,0.4800869601029229,0.4341275125497028,0.1681446553004616,0.1496305466015939,0.5100723892398842,0.5440356774429832,0.549090343551208,0.4877567991886006,0.5184235713699044
Side Effects Project - Sing With Me,L6020,0.2362380529062068,0.1815359205515047,0.1651944193446116,0.3425379578093723,0.3005864270193072,0.1503713756088947,0.1397398357799396,0.3094413222030392,0.3004971649329854,0.4548280305398049,0.7690809517248607,0.6119544911323328
Signe Jakobsen - What Have You Done To Me,L6035,0.2503679089089309,0.1848327970720994,0.1765666097721973,0.2010502654906337,0.2018856778632986,0.3742032385707408,0.348241699994792,0.2575082838539827,0.2586546986537025,0.8903488717595651,0.8609595188104516,0.8756541952850083
Skelpolu - Resurrection,L6030,0.2881996695015538,0.1691817804509204,0.1568168718655795,0.3331037181184911,0.3938333260198585,0.4572240905545215,0.4576500032517722,0.1675694773275728,0.1702180884237148,0.5778181563282798,0.5734782089032968,0.5756481826157883
Speak Softly - Broken Man,L6018,0.2095709091491785,0.1857123099708559,0.1991634461837409,0.132168819618554,0.1310019954470222,0.2903445093594741,0.3075096622979247,0.2086971695580012,0.2219693607578551,0.892366857468402,0.7275911418743269,0.8099789996713644
Speak Softly - Like Horses,L6015,0.2248049579675413,0.3052374226427926,0.162,0.1664240389287369,0.1583399074382022,0.2360668147557827,0.2571787495719624,0.24709767535214,0.2660950550507134,0.6646064348550124,0.8232141239050562,0.7439102793800343
The Doppler Shift - Atrophy,L6029,0.2772248158681411,0.1710329650545927,0.1746879817758443,0.1986311382752935,0.1853018106640145,0.4211665436889691,0.4467538409169846,0.29742363860942,0.3228006079600095,0.8881546979861871,0.8790677815220226,0.8836112397541048
The Easton Ellises - Falcon 69,L6011,0.2059710128884654,0.1950077751281528,0.1884076634127837,0.1718254746858706,0.171641983500791,0.2603356876764545,0.2428334699427359,0.2085398490047158,0.2091761997562188,0.5705557010225824,0.641590605389061,0.6060731532058217
The Easton Ellises (Baumi) - SDRNR,L6052,0.1933256724334776,0.1135856618587318,0.1193581265250066,0.1994729543281716,0.201184871010803,0.1838945508017328,0.1654958805846236,0.2930099027162377,0.2706034316425137,0.9046760467764896,0.9337458713317396,0.9192109590541148
The Long Wait - Dark Horses,L6024,0.2814315963888202,0.1618130066890185,0.1848071388601544,0.2038519693114889,0.2140930983477601,0.4492020532329515,0.4391143623875971,0.2894969722385887,0.3090741700430025,0.7790452640378843,0.7983035754142797,0.788674419726082
The Mountaineering Club - Mallory,L6012,0.2707990052980152,0.0987420479457388,0.1031624287468236,0.2333881379061598,0.255374754200398,0.5071541732015088,0.5057019038792436,0.230546571532316,0.2323220249719326,0.8421813181159099,0.7763111063649448,0.8092462122404274
The Sunshine Garcia Band - For I Am The Moon,L6016,0.2461343236659396,0.2225902755191146,0.231294432893698,0.1898892919331275,0.2053145408815129,0.1853858984036623,0.1671262151158245,0.3833180322990734,0.3841559022815037,0.5968844381307801,0.5811513152781731,0.5890178767044766
Timboz - Pony,L6003,0.2400557343860968,0.1868728160569272,0.1903459538818387,0.2198067858705581,0.2229636878571482,0.3623172045112291,0.283556004429742,0.2205404603986767,0.2340429620826541,0.8075076370754413,0.719888117486974,0.7636978772812076
Tom McKenzie - Directions,L6017,0.3024790973007269,0.2283087156207666,0.2287744909054683,0.2984040287046368,0.2933773521321301,0.2262655289125785,0.2263258672701581,0.4894062165132395,0.4289705783468371,0.4029304728443274,0.6536339477948854,0.5282822103196064
Triviul feat. The Fiend - Widow,L6048,0.1995180201406594,0.1268961898656488,0.1085897885326144,0.220659438206137,0.2039477201300206,0.1974528564673687,0.1959202426694343,0.257861089345054,0.2848168359089974,0.9712047666408592,0.9142312133955828,0.942717990018221
We Fell From The Sky - Not You,L6013,0.2408427393944834,0.1819384299836888,0.1785610129470537,0.1702895810149214,0.1921344515381135,0.3840281776963691,0.4228008677422419,0.1939043573719086,0.2030850368615704,0.904510794539032,0.968792602169166,0.936651698354099
Zeno - Signs,L6006,0.2306189020559658,0.1316198517127284,0.1333011582368305,0.2214140009402523,0.2185122048159446,0.3214639816923123,0.3427636226206647,0.2370176781370771,0.2388587182919168,0.9506820558212375,0.9312822356534082,0.9409821457373228
Al James - Schoolboy Facination,L6022,0.2979855387124517,0.2181800955855197,0.2307391850491174,0.1983760197275944,0.196868047641162,0.3489940975079371,0.3780153835588242,0.4238952341464713,0.3888162464829874,0.5330645752936148,0.4950274442939315,0.5140460097937731
Al James - Schoolboy Facination,L6020,0.2713612505334105,0.2981684366149582,0.2907816533066115,0.2062030688906843,0.2017372302015326,0.3092629910379446,0.2996575182789571,0.2977861587173442,0.2672929472192517,0.3742117929710444,0.7476665800070776,0.560939186489061
AM Contra - Heart Peripheral,L6035,0.1728904167910312,0.153949360087379,0.146745642120706,0.0921146320077447,0.0931520780635508,0.2009223392793283,0.1989878795934854,0.2497461305527912,0.2475052726232643,0.914023461925763,0.8446454512829649,0.8793344566043639
Angels In Amplifiers - I'm Alright,L6030,0.2860816858388596,0.2721775715213936,0.2509874945642818,0.1462520998028924,0.1648054121233892,0.3264568846777027,0.4171990772162732,0.3413631757147678,0.3694117710901761,0.5529845374589925,0.5107299340686903,0.5318572357638414
Arise - Run Run Run,L6018,0.2843471671754312,0.2369940909524968,0.271194727726993,0.2190889743584409,0.2431776073721437,0.2989006322425421,0.3219909572783106,0.3215665507412247,0.3618637967312977,0.8592043391944966,0.7555650693637691,0.8073847042791329
Ben Carrigan - We'll Talk About It All Tonight,L6015,0.3417103654562977,0.3012570465830705,0.2699381834995568,0.1343637812603965,0.1311854289810992,0.6131982518512393,0.6360017004159428,0.2968356147080225,0.3509029163510542,0.9101369252152324,0.946960211663676,0.9285485684394542
BKS - Bulldozer,L6029,0.2595014874813049,0.2012367749027707,0.1920915308901979,0.2618623573093896,0.2695244685139043,0.2664100653659947,0.3022947355718444,0.2901812940292964,0.2924106732670413,0.8352124412691024,0.8654723661457938,0.8503424037074481
BKS - Too Much,L6011,0.2583105907419447,0.169374053604339,0.1679763487397718,0.235874962744042,0.2326771780711003,0.3694206235267926,0.3978239603818914,0.2499450722784232,0.2433925265891971,0.7759205965000048,0.7289135343908539,0.7524170654454294
Bobby Nobody - Stitch Up,L6052,0.2508865299485264,0.2065436014008334,0.1986956252690149,0.2079241665502751,0.2033996718320189,0.3414140335837131,0.3169826995679488,0.2676103983253288,0.2645220430590785,0.9181229110078096,0.9546626323323854,0.9363927716700976
Buitraker - Revo X,L6024,0.2354910262819204,0.139537849056344,0.1544668626745585,0.1689009459299082,0.156195479586138,0.4408449622031098,0.4144737925364314,0.2062445413850181,0.2032637768838555,0.3667427804869584,0.343759995189251,0.3552513878381047
Carlos Gonzalez - A Place For Us,L6012,0.2593686979625022,0.1115350084139786,0.1121812061455593,0.1900255627033999,0.1882457615286869,0.5078389869267239,0.4757117947945341,0.2380171952263426,0.2513940679607921,0.8811456212122691,0.7535235949978067,0.8173346081050379
Cristina Vane - So Easy,L6016,0.2503878125586687,0.1347053434711486,0.1384224891644587,0.2085537263900377,0.2096096674941476,0.3578883693804748,0.3285099412362013,0.2963981966861991,0.3290147666466818,0.828496338025252,0.6660697759030477,0.7472830569641499
Detsky Sad - Walkie Talkie,L6003,0.2095063708667002,0.1233876509517044,0.1241771091542683,0.2734456888098482,0.2589395490020281,0.2009621698718397,0.2197907756231374,0.2354888279430656,0.2398591955777098,0.7561133416677742,0.5469739848213976,0.6515436632445859
Enda Reilly - Cur An Long Ag Seol,L6017,0.3156995688552098,0.1954874708662841,0.1661894390440387,0.1830759696175554,0.1550849633285705,0.4360615864942309,0.4168186501252822,0.5220513031580486,0.4508271682076682,0.3600246308482215,0.5972137257409901,0.4786191782946057
Forkupines - Semantics,L6048,0.2173907243488794,0.1197056333755472,0.0922244317528197,0.2163598559187756,0.2059171816545064,0.2884698265627877,0.3377781210272868,0.2269649781413297,0.2517057663579821,0.9563323403851116,0.9411079332045552,0.9487201367948334
Georgia Wonder - Siren,L6013,0.2535696635970667,0.1982733493915976,0.1928266894400773,0.225232025237567,0.2273533590267409,0.3476799021011081,0.3101209192814807,0.2749298254477087,0.2521412388502528,0.8730569800297112,0.9582738099762,0.9156653950029556
Girls Under Glass - We Feel Alright,L6006,0.2047834314218483,0.1104208956503009,0.1110200163839156,0.200598563429761,0.1990763553650994,0.3502055997676772,0.32089634632595,0.170208030371047,0.1758416440810351,0.8645688752813583,0.8569288738511688,0.8607488745662635
Hollow Ground - Ill Fate,L6040,0.2334776646072744,0.1238770702071708,0.1325921952214925,0.1917330603138321,0.1852654289179724,0.3107813726463028,0.3373329825742447,0.303284210689439,0.2829549962877409,0.7583667466372022,0.7668823777442613,0.7626245621907317
James Elder & Mark M Thompson - The English Actor,L6036,0.2826070819243216,0.2867756088669814,0.2921080617082957,0.2086044249120276,0.2280186824735612,0.4007654518206425,0.3923845770926667,0.2093390020049386,0.2428608465154588,0.3487349604730513,0.4325573097936659,0.3906461351333586
James Elder & Mark M Thompson - The English Actor,L6042,0.2390019679594096,0.2063877569919967,0.2023834237270524,0.217341314718074,0.221175215409327,0.3468549545705392,0.3203777216933734,0.1965990434188368,0.200896313146077,0.9031262355862462,0.8249453506031865,0.8640357930947163
Juliet's Rescue - Heartbeats,L6049,0.2291610588214681,0.1763592682630332,0.1755254842700687,0.2105605382296627,0.2020187911015941,0.2844351233648694,0.2987691925030301,0.2469008762279349,0.2387191966115513,0.943515238229934,0.917299686667294,0.930407462448614
Little Chicago's Finest - My Own,L6008,0.2311101223483845,0.1277496092973457,0.1441835521139318,0.2170129713801311,0.2231970208252717,0.244595306517639,0.300356678126143,0.3011001368491173,0.2906857036774964,0.7409327471629347,0.7484843914468886,0.7447085693049116
Louis Cressy Band - Good Time,L6033,0.3663911087337675,0.2003117121487207,0.1753164592610836,0.2192806850175407,0.1779006122341484,0.6419996441116003,0.6148144577020977,0.487281943860157,0.4142233555347913,0.4818144789748848,0.4445768255484931,0.463195652261689
Lyndsey Ollard - Catching Up,L6045,0.2721657671533356,0.1704621760285905,0.1821461988858014,0.2139250466987166,0.2069963736343704,0.3692967879067714,0.3582016090889569,0.3432833482976872,0.3330145966857907,0.9417020833896914,0.9008516911345884,0.92127688726214
M.E.R.C. Music - Knockout,L6037,0.3077787452751711,0.162,0.162,0.2686958443497643,0.2571151614617517,0.2273896523833068,0.2227696736122461,0.6279282256710498,0.5343314047232499,0.8024242417413071,0.7967261145022293,0.7995751781217681
Moosmusic - Big Dummy Shake,L6023,0.2551396720939816,0.1948387285520008,0.1619675431041074,0.2336484843173751,0.2270483574915104,0.3759449093750934,0.3623884017192338,0.2458352384542551,0.2394457137382764,0.5367925198023501,0.6804711898149628,0.6086318548086564
Motor Tapes - Shore,L6041,0.2030404280069423,0.1730723119253663,0.1735392058035811,0.1893627887993888,0.1853487071259155,0.3473735211466222,0.3715834796248093,0.0864744016465317,0.0975690079833235,0.8882560678835807,0.9280778009694136,0.9081669344264972
Mu - Too Bright,L6007,0.2538233115883153,0.2002427281292578,0.2095144621291477,0.2413519102865736,0.2416225591585877,0.2524495358511844,0.2544210310727978,0.3185958446348219,0.3123884214441512,0.9492915845308336,0.934613975073351,0.9419527798020924
Nerve 9 - Pray For The Rain,L6051,0.2913139498739692,0.1531358973578615,0.1401623102516566,0.1941116927330675,0.2017889823338662,0.4468514578696893,0.4904613084669663,0.3978641880892708,0.3061357618893756,0.3138518284359046,0.5978730113866421,0.4558624199112733
PR - Happy Daze,L6050,0.2362600436890155,0.1977833678713436,0.1940696571532382,0.5133661929356773,0.512518438548879,0.1566647902341242,0.1734354704973358,0.0703494040596286,0.0718930282118971,0.683066388205748,0.7332467834080669,0.7081565858069074
PR - Oh No,L6053,0.1987855127376669,0.1635131401018807,0.1636812086453206,0.2926101379805316,0.3221699459529962,0.1505599108162081,0.1529530813257956,0.1698575664204012,0.1749391106582015,0.8553267423399191,0.9211379934330846,0.8882323678865018
Raft Monk - Tiring,L6010,0.2164037851751071,0.1165173323492426,0.1241736066900108,0.1622795041159399,0.1717978714128242,0.3606516597200787,0.3336476080133798,0.2328497541479423,0.2293129449514385,0.5926048321293452,0.7636185000515188,0.678111666090432
Sambasevam Shanmugam - Kaathaadi,L6009,0.4266234513324355,0.1967545306080965,0.1856379988150232,0.2650493624459684,0.2386115015929929,0.5339283930205267,0.6326571623299145,0.6881404686493874,0.6722081931975747,0.1694240465490387,0.1449505339286468,0.1571872902388427
Secretariat - Borderline,L6026,0.3033095970084761,0.0879056185633774,0.1177928341500464,0.1915615246634538,0.1986847361627007,0.4519485219261104,0.5106190949330396,0.430377156150013,0.437587289519068,0.4525723463902578,0.3875872190990677,0.4200797827446627
Secretariat - Over The Top,L6019,0.2828265084757281,0.1169055531006647,0.0948232706500272,0.2340274676207476,0.2251588229739526,0.4642049228372015,0.4611344333762894,0.3350363318534249,0.331321265393517,0.4875843846325211,0.6559553334857213,0.5717698590591211
Side Effects Project - Sing With Me,L6002,0.2455904894789685,0.1626860088195806,0.1530843088966013,0.3500863534778432,0.2971789640331891,0.151210017272125,0.1605844198349393,0.3435297316811347,0.3463641118163349,0.74386407559466,0.8594228123834622,0.8016434439890611
Side Effects Project - Sing With Me,L6001,0.2742418318346188,0.1667475526231541,0.178251921275065,0.3804153454559761,0.3508506155332408,0.1444535655616546,0.1633107870396436,0.3839252899465767,0.4259795772416397,0.5808622216767282,0.6460986994508814,0.6134804605638048
Signe Jakobsen - What Have You Done To Me,L6028,0.2474549200048979,0.1789750848918711,0.174821325178582,0.2082229715896515,0.2061691332339947,0.3619763376654017,0.346917345316678,0.2497426867888413,0.2528144753741629,0.8544723366920002,0.7151140787235248,0.7847932077077625
Skelpolu - Resurrection,L6046,0.2193271241506008,0.1429268772599332,0.1460224361301887,0.2227040938115237,0.2201094002434387,0.3697494186899266,0.3444384530216604,0.1515547453238258,0.1571115687243092,0.588774887652465,0.7048045196182992,0.646789703635382
Speak Softly - Broken Man,L6031,0.200305076660679,0.1972892634358171,0.1941756605312165,0.1498660953427966,0.1459487468980289,0.2506100614109835,0.2638226546235283,0.199850415242532,0.2008777158005291,0.9167786866687976,0.8924360657418352,0.9046073762053164
Speak Softly - Like Horses,L6032,0.2354042681437643,0.2505460437275948,0.2548005509439432,0.1695892180196115,0.151696755033995,0.2598073562521198,0.2699116849675708,0.2577070138906817,0.2691755223145974,0.896722778571004,0.8376895373710489,0.8672061579710264
The Doppler Shift - Atrophy,L6034,0.322280347010162,0.156710772074464,0.1848612317108886,0.2587795383756923,0.185276565869232,0.5480478162093716,0.5226121934588634,0.3907401231956574,0.3312145351871265,0.2118356039653685,0.7318838187465397,0.4718597113559541
The Easton Ellises - Falcon 69,L6038,0.209723464760834,0.1914238871795446,0.197671025262578,0.1798542965918998,0.1760595633643007,0.2611751151331372,0.2466546009297017,0.212516698252085,0.2124325313734249,0.3685034881454371,0.3727943428073131,0.3706489154763751
The Easton Ellises (Baumi) - SDRNR,L6047,0.2005000295758326,0.1374057513916916,0.1323342705470769,0.2022075497554729,0.2040254848006902,0.1887911581720661,0.1738482991634304,0.2864907764584679,0.2788969463177647,0.5949869407946338,0.5294390103239319,0.5622129755592828
The Long Wait - Dark Horses,L6043,0.2674742586513117,0.1697549054663948,0.1640848980680156,0.2033478448669315,0.2058054731594442,0.4278179643426627,0.3976197199067799,0.2973181934778884,0.2740450699223768,0.8959804828244012,0.9030716795213454,0.8995260811728734
The Mountaineering Club - Mallory,L6021,0.3002156487350862,0.094446021150213,0.0829003172753286,0.2988321037406825,0.2790805870224876,0.596313431459367,0.5887872680497558,0.2326714688175848,0.2286939923652698,0.8603463374178209,0.9018683974532088,0.8811073674355148
The Sunshine Garcia Band - For I Am The Moon,L6004,0.2724432571875111,0.2492997345974439,0.2733144847418141,0.2070849251865123,0.2161867876375514,0.1922645952965285,0.1930936756278409,0.4399100375642346,0.408391816848163,0.434253615404357,0.2870712449076462,0.3606624301560016
Timboz - Pony,L6025,0.2631011186812778,0.188499256431102,0.1873924871600644,0.2190282220317162,0.2315115734886455,0.3994860396087573,0.2880626602340453,0.2927426126891793,0.2980860978067124,0.4663104238393855,0.6386935871268551,0.5525020054831202
Tom McKenzie - Directions,L6014,0.2736392499993772,0.210511296054993,0.2116842108789109,0.2095400395414552,0.2484623411402709,0.2290396740235254,0.2359395185115262,0.4198524146651882,0.4240845051791475,0.757811785792028,0.7342117463708193,0.7460117660814236
Triviul feat. The Fiend - Widow,L6027,0.2014944980661366,0.1249091836816966,0.1327554145023834,0.2209341746446527,0.2141914822190031,0.1977523593981897,0.1854227735656609,0.2658788017327491,0.2701117947847574,0.940513183829796,0.5657729603880374,0.7531430721089167
We Fell From The Sky - Not You,L6005,0.2860418292047945,0.2032249558842023,0.1751951683233834,0.1869682673326297,0.1781251651865659,0.5453982203773172,0.6224109281811336,0.1903153623739474,0.1866965659791765,0.7113447010152344,0.6735613912638113,0.6924530461395229
Zeno - Signs,L6039,0.2306984040798129,0.1323099136598061,0.1292215237239724,0.2203150974853205,0.2194628850773082,0.3259445580662642,0.3416491341528496,0.2389906605689961,0.2376934599039865,0.938857539105604,0.9369089219525238,0.937883230529064
Al James - Schoolboy Facination,L6002,0.2622407252262888,0.2464277521767975,0.2128398871552502,0.1994147366537043,0.200783110548196,0.3127056589274082,0.3369633045865023,0.3071941936776255,0.2815971580848263,0.6596420380909996,0.8528645813200283,0.756253309705514
Al James - Schoolboy Facination,L6001,0.2805284197420926,0.2736246340361693,0.2519513518836,0.1930504337193397,0.1924440982092374,0.3141661883483166,0.3680763448188263,0.3324326718658308,0.3184816350554211,0.5258467201705248,0.5936495326852183,0.5597481264278715
