song,listener,score,left_bass,right_bass,left_drums,right_drums,left_other,right_other,left_vocals,right_vocals,remix_left,remix_right,remix_score
Al James - Schoolboy Facination,L6036,0.0896969275598666,0.1116706019191924,0.1091213620638367,0.1039030180249993,0.1206101713495027,0.0798185223838884,0.0772359763105812,0.0473927253694471,0.0678230430574845,0.4009273872109332,0.4593252802174947,0.4301263337142139
Al James - Schoolboy Facination,L6042,0.1006024181652733,0.101840230578777,0.099678925810185,0.1259858469937416,0.1268092792843627,0.1294104344764398,0.1282504643924525,0.0507406374882724,0.0421035262979553,0.8202834122931684,0.731437559175497,0.7758604857343327
AM Contra - Heart Peripheral,L6049,0.1024368710994212,0.1011754288587487,0.0978646943001385,0.133103466674045,0.1335696257226646,0.1405292253597265,0.1333645960998318,0.0433317945068998,0.0365561372733146,0.9141748067121096,0.743464016410264,0.8288194115611869
Angels In Amplifiers - I'm Alright,L6008,0.0930860576912513,0.0934072959458878,0.0810418521116656,0.1102971491139195,0.1000593197452303,0.1570890678987562,0.1155227850360645,0.0412980591798008,0.0459729324986854,0.8963179323252276,0.8847824260407685,0.8905501791829981
Arise - Run Run Run,L6033,0.1144631912292852,0.1126006478786515,0.0821153360370248,0.1227941199231414,0.13523373893434,0.1768910550864152,0.1863666360432354,0.0531715726036164,0.046532423327857,0.6858812982289967,0.5961923134059726,0.6410368058174847
Ben Carrigan - We'll Talk About It All Tonight,L6045,0.0876132932521187,0.0751605615578515,0.0844548804685725,0.1180103153176244,0.0973729069211257,0.1010135101112772,0.1143104789120119,0.0651080609159986,0.045475631812488,0.4354272168942978,0.3950285592006994,0.4152278880474986
BKS - Bulldozer,L6037,0.1037418741576067,0.0965070056315678,0.0923938069532016,0.1341578095650588,0.1358634509914881,0.1197575221272757,0.1203961877601903,0.0743211117075619,0.0565380985245097,0.4809369927028532,0.7334609020192366,0.607198947361045
BKS - Too Much,L6023,0.0815539175173881,0.0975000966568948,0.0852374248203789,0.0952149327083734,0.1082472859724308,0.0746500897732857,0.0744679191313103,0.0631040878863724,0.0540095031900582,0.7618043499795544,0.7986100159877386,0.7802071829836466
Bobby Nobody - Stitch Up,L6041,0.1048593745655623,0.0884591429507573,0.0833990136039699,0.1255885427503716,0.1309661154819731,0.1571040085891442,0.1632935097475815,0.0475883346393581,0.0424763287613428,0.9219939668019604,0.9288425698731564,0.9254182683375584
Buitraker - Revo X,L6007,0.0896706182661679,0.0990121733841185,0.0974856585312119,0.1011841287146854,0.0973353808713783,0.1228853488167278,0.1161969597919653,0.0454728693304851,0.0377924266887706,0.9309621649099028,0.82014018965259,0.8755511772812463
Carlos Gonzalez - A Place For Us,L6051,0.097175400804939,0.1191982202937458,0.1349095157910867,0.1023499110906976,0.1194017738565254,0.0771119398736284,0.096110387831613,0.0821387997077904,0.0461826579944245,0.5056701385164626,0.8558312044899398,0.6807506715032012
Cristina Vane - So Easy,L6050,0.0836662198840849,0.1140630985237495,0.1153498936564751,0.0948600907690485,0.0874001958865059,0.1004035308754563,0.0869191536892695,0.0346850557051228,0.0356487399670512,0.8428324541182108,0.7923235326063027,0.8175779933622568
Detsky Sad - Walkie Talkie,L6053,0.1140731404693316,0.1190532846611131,0.1137368564015064,0.1442511114429119,0.1447212573865643,0.1236313192595343,0.1271518750139176,0.0736157933056684,0.0664236262834367,0.9311104043976048,0.923592598118972,0.9273515012582884
Enda Reilly - Cur An Long Ag Seol,L6010,0.0929813773435682,0.1046445714314814,0.1003095820829216,0.1051317482488308,0.0955720673030881,0.1197622857355218,0.124566344253737,0.0446618073863055,0.0492026123066592,0.8183151790231996,0.8175468561603484,0.817931017591774
Forkupines - Semantics,L6009,0.0818097741755208,0.0975302242670544,0.0867334123800808,0.0999066804352122,0.1003563997907643,0.080671631155909,0.0775422869593722,0.0592412236841501,0.0524963347316229,0.2634737683339206,0.2631221811938187,0.2632979747638697
Georgia Wonder - Siren,L6026,0.089144530574669,0.1025466125118127,0.109122251251142,0.1192401721906382,0.1197415294618074,0.0837827773192787,0.0824622041808778,0.0488393772737665,0.0474213204080285,0.5448218220254589,0.3882264264626319,0.4665241242440454
Girls Under Glass - We Feel Alright,L6019,0.1022521747787513,0.1374952884904247,0.1538295293884481,0.1164431579670925,0.11931309175224,0.0817909510755671,0.0932602361224283,0.067417366899703,0.048467776534107,0.5077928845851648,0.6587244004801414,0.5832586425326531
Hollow Ground - Ill Fate,L6002,0.1149591257131661,0.1364216869146878,0.1397895099004834,0.1122727981961241,0.1211017176898258,0.1412955688127106,0.1522076370362662,0.053131371711766,0.0634527154434648,0.8534512414995326,0.9240864662050796,0.8887688538523062
Hollow Ground - Ill Fate,L6001,0.1046610107425309,0.1368213591187702,0.1257364556434126,0.1020799650927132,0.1214959382678288,0.1341451491662632,0.1198167891215159,0.0448593090241664,0.0523331205055772,0.6811685104069818,0.692785138823726,0.6869768246153539
James Elder & Mark M Thompson - The English Actor,L6028,0.0848843718448271,0.0874561474152199,0.0804583826047327,0.1019679809249414,0.1000037057050486,0.1240414091254751,0.1205755333840387,0.0348780853333951,0.0296937302657655,0.8782609032195706,0.79990191191101,0.8390814075652904
Juliet's Rescue - Heartbeats,L6046,0.1006507266671503,0.1232662257709262,0.1210713389854709,0.0897181096443311,0.1043668738039412,0.1438829533582242,0.1590421936964509,0.0278802201192802,0.0359778979585774,0.7557718358744597,0.794685092890119,0.7752284643822893
Little Chicago's Finest - My Own,L6031,0.0950929045439902,0.0876622327559099,0.077770664965962,0.1120210499954667,0.1121959539084902,0.1189040944958846,0.1155339104268354,0.0708238417766389,0.0658314880267341,0.8182044885144102,0.778413916633257,0.7983092025738336
Louis Cressy Band - Good Time,L6032,0.0901008554660001,0.0960234220550755,0.0911894681499608,0.1265693720905505,0.1144204412156388,0.1041608974681956,0.0929375343657212,0.0497546435650883,0.0457510648177705,0.598661502203946,0.481229498218293,0.5399455002111195
Lyndsey Ollard - Catching Up,L6034,0.0939147192409428,0.1292698629398332,0.0917388074482889,0.09694963261731,0.0941637302370504,0.1239816681072396,0.126839131400418,0.054177796078446,0.034197125098956,0.4553648590367896,0.7176890335344367,0.5865269462856131
M.E.R.C. Music - Knockout,L6038,0.0892187760746902,0.0826748268905697,0.0821734201063048,0.0878928538282394,0.0974347046252152,0.1557240676527116,0.1421311465231742,0.0309813991187933,0.0347377898525133,0.8238919864664459,0.7207327771542855,0.7723123818103657
Moosmusic - Big Dummy Shake,L6047,0.09158977296299,0.1031975236023675,0.1099969094676782,0.1093273503532633,0.1106260173529453,0.1069438147982449,0.1157142877825706,0.0402028499147623,0.0367094304320883,0.5371599536317856,0.4799768836700474,0.5085684186509165
