,107313,122455,148540,169463,184129,197070,198624,211001,213744,240562,260046,264195,278134,284863,293112,303027,324285,332763,335734,339808,342644,355659,366327,397464,425573,443509,443521,457107,458671,469403,520918,534742,549765,550605,553282,577517,583166,585833,589181,592007,615380,617807,626236,657038,683737,686892,715443,732850,733618,745088,757056,757931,Average,STD
Motor Tapes - Shore,41.4,55.2,12.3,0,56,66.6,86.2,26.9,0,59,4.8,20.6,59.8,38.6,25.5,11.8,37.5,33.9,63.9,72.7,31.3,79.4,30.9,32.1,60.4,25.8,67.2,21.1,31.4,53.7,41.4,24.3,0,37.5,26.4,45.9,37.1,0.9,18.9,39.1,10,21.6,21.8,68.5,47.3,44.7,33.6,,64.8,0,90.5,63.5,38.1,23.7
Mu - Too Bright,23.9,42.5,17.7,1.2,70.9,65.3,73.8,0.5,0,82.6,28.1,12,54.3,0,58.8,14.3,54,41.6,61.2,67.8,73.7,50,66.5,28.6,67.6,22.6,26.7,33.2,5.7,44.8,26.3,46.3,0,24.5,20.5,36.3,,10.8,18.7,16.7,6,2.1,32.5,32.5,74.1,10.1,17.8,,66.8,0,39.3,33.6,34.1,24.7
Nerve 9 - Pray For The Rain,33,38.4,18.6,21.1,40.6,82.7,76.1,0,0,79.2,20.5,65,17,25.1,11.7,64,42.7,25,60.7,34.1,30.5,60.2,43.9,35.2,32.5,32.3,36.5,26.2,17.6,43.4,41.9,30.8,0,17.3,1.8,34.6,,7.6,20.4,25.3,25.6,1.1,39.3,74.3,24.5,1.8,26.4,7.1,65.9,0,63.7,35.4,32.5,22.4
PR - Happy Daze,50,55,23.1,11.5,39.9,93.7,100,22.6,4.3,90.2,67.9,86.1,83.1,45.5,75.1,50,55.8,38.2,42.6,61.7,52.6,34.1,80.1,100,39.4,62.6,70.2,51.9,33,84.9,45.7,44.7,17.5,37.2,61.5,45.9,,40.2,35.3,79.3,64.8,39.9,51.8,66.2,25.9,89.1,51.1,,70.4,16.8,76.9,66.4,54.6,23.7
PR - Oh No,59.3,54.5,27.6,0,77.1,97.9,86.2,25.8,80.7,61.8,81.9,35.5,89.2,37.5,75.7,87.6,32.3,68.6,65.2,64,69.2,40.9,84.8,93.3,78.2,70.6,75.7,51.1,49.3,73.4,62,24.3,46.1,88,75.3,58.7,,53.4,42.7,46.4,48.6,62.7,61.6,76.8,41.5,85.2,57.9,26.4,84,10.4,88.9,94.8,61.4,23.2
Raft Monk – Tiring,16.9,40.9,4,0,11.3,3.5,34.2,1.6,0,75.4,2.6,2,12.6,15.6,0,4.3,45.3,33.6,61,32.7,2.7,37.7,6.3,17.2,13.1,20.8,1.3,25.9,9.2,18,13.7,1.2,0,0,8.7,23.2,4.4,0.9,12.3,27.1,0,2.4,0,2.6,2.1,0,15,,21.4,0,12.6,9.3,13.9,16.5
Side Effects Project - Sing With Me,44.9,43,29.7,14,36.7,53.7,63.7,4.9,0,64.3,47.7,23.8,61.6,33.4,25.6,15.6,59.8,46.3,68.5,59,43.3,66.2,44.1,93.8,47.5,62,77.9,31.5,16.3,63.6,74.7,8.2,0,62.6,39.7,54.6,,35.2,8.5,72.6,4.7,31.4,39.9,63.2,50,39.6,38,12.8,60.4,22.9,44.5,35.1,42,22.3
Speak Softly - Broken Man,39.1,43.1,13.9,21.9,36.1,64.2,21,4,1.1,41.2,50,46.2,61,20.9,42.4,50.3,62.6,44.8,68.6,63.1,62,46,100,84.1,51.6,73.2,59.7,25.5,15.1,46.7,58.2,45.2,0,11.2,19,41.6,,44.1,5.4,65.3,38.8,5,30.3,44.1,46.4,6.8,70.6,8.3,37,0,44.4,53.8,39.9,23.5
The Doppler Shift – Atrophy,55.1,56.6,25.6,17,37.8,32.7,71.4,9,0,85.4,36.6,14.7,53,52.9,41.9,76.7,63.5,35,72.4,71.7,20.3,33.4,100,76.5,58.4,79.5,73.2,35,26.6,76.7,71.7,46.8,21.1,49.7,32.7,59.7,,38,21.7,33.8,61.1,72.5,48.2,69,43.3,58,26.7,,59.8,40.3,62,89.8,49.9,22.8
The Mountaineering Club - Mallory,60.9,47.3,22.9,35.4,81.4,95.5,100,17.8,61.9,73.3,50,22.5,54.7,58.8,59.3,73.4,56.8,59,78.1,73.8,43.2,50,58.2,93.1,59.9,40.8,50,20.3,63.7,67.2,56.8,83.7,87.2,92.2,72.7,35.8,,35.8,28.7,75.2,88.2,82.4,66.5,53.3,98.6,66.3,80.6,,78.2,44.3,76.5,96,62.6,21.8
The Sunshine Garcia Band - For I Am The Moon,61,56.6,12,4.8,64.8,17.2,35.6,24.4,0,81.9,6.7,10.6,19.8,55.5,73.7,63.5,59.3,35.2,67.2,43.2,39.9,42.1,25.8,100,64.5,35.5,35.6,29.7,28,41.8,45.1,24.8,13.1,38.1,57.6,54,,35.3,4.9,58.4,3.2,30.3,55.1,54.4,3.5,41.3,41.1,,80.6,18.2,32.7,53.6,39.6,23.2
Tom McKenzie - Directions,71.9,55,11.2,25.6,84.5,95.1,42.5,34.1,75.2,90.4,37.2,87.8,44.9,60.1,90.8,85.6,87.8,45.2,52.7,69.1,42.7,64.1,100,100,72,92.8,93.4,28.6,40.6,71.2,56,45.3,17.5,71.8,35.5,54.3,,34.9,67.6,75.3,36.7,70.7,35.1,44.7,97.8,83.1,67.1,9,62.4,29.4,81.1,59.1,60.5,24.7
Triviul feat. The Fiend – Widow,42.5,27.4,8,4.2,69.8,15.7,26.7,0.9,0,40.2,29.4,23.8,55.5,34.1,39,15.4,60.9,19.6,31.7,63.9,31.9,63.9,80,3.4,82.8,45,50,30.7,32.2,69.6,38.5,25,0,24.7,16.5,38,66.7,2.6,9.9,40.4,7.5,30.6,21.3,64.9,0,35.6,29.5,6.2,79.3,0,76.1,38.3,33.7,24.1
