song,107313,122455,148540,169463,184129,197070,198624,211001,213744,240562,260046,264195,278134,284863,293112,303027,324285,332763,335734,339808,342644,355659,366327,397464,425573,443509,443521,457107,458671,469403,520918,534742,549765,550605,553282,577517,583166,585833,589181,592007,615380,617807,626236,657038,683737,686892,715443,732850,733618,745088,757056,757931,average,std
Al James - Schoolboy Facination,56.5,55.2,24.4,22.4,78.7,42.3,88.6,2.4,0,73.1,44.3,25,53,43.9,22.6,29.1,53.5,37.5,58.6,40.1,47.7,79.4,67.6,89.1,85.4,63.2,80.2,22.5,18.7,32.2,72.5,29,0,39.1,44.7,59.3,23.6,10.8,30.8,35.8,19.4,21.8,27.1,31.9,31,3.7,61.6,,39.2,39.1,39.7,25.6,41.6,23.5
Angels In Amplifiers - I'm Alright,54.4,30.4,15.9,23.2,54,94.7,33,19,0,96.7,29.4,34.6,36.1,55.8,59.6,67.3,29.2,29.2,63.5,71.7,57.4,69.7,90.3,90.3,74,69.6,73,38.3,10,76.8,36.7,43.3,0,23.1,12.5,55.6,38.8,36.3,14.3,50.5,21.5,75.1,59.3,40.2,89.6,20.4,51,,58.7,8.9,75.9,43.3,47.1,25.8
BKS - Too Much,42.7,56.6,26.4,25.7,60.1,56.9,88.2,21.9,44.4,76.5,47.9,58.2,57.6,35.2,26.2,75.3,56.5,46.6,40,38.1,52.1,61.3,79,35.4,79.7,91.1,89.9,50.8,21.9,58.4,73.2,30.1,6.7,33.1,21.2,59,,43.3,30.3,29.5,41.1,23.3,40.5,28.7,96.5,5.2,23.4,,67,52.4,65.1,45,48.3,22.1
Carlos Gonzalez - A Place For Us,36.4,47.2,12.9,10.4,78.9,70.3,10.9,22,76.6,25.8,46.6,53.8,21.7,40.6,23.3,80.7,76.7,62.4,41.9,59.8,52.4,45.3,43.6,63.7,29.7,28.9,50,50.4,41.5,77.6,62.1,39.4,63,67.7,23.6,32.7,,50,25.1,74.3,29.2,40.7,34,25,63.8,21.7,72.6,,56.6,14.5,57.8,64.9,46.0,20.3
Enda Reilly - Cur An Long Ag Seol,50,54.2,19,17,62.3,91.8,65.3,14,6.6,40.1,45.9,62.3,74,79.6,49.4,41.3,72.8,52.2,62.1,78.8,30.5,77.2,69.6,71.8,72.1,67.4,79.6,36.2,47.1,81.4,58.8,55,40.3,74.6,58.4,43.4,61.5,6.1,31.7,46.8,39,34.2,35.2,37.4,98.7,88.7,56.8,,88.3,16.7,87.2,85.4,55.2,23.4
Forkupines – Semantics,28.8,27.6,12.6,0.8,56,23.2,69.5,13.9,0,62,15.1,88.1,78.9,36.7,5.7,20.6,9.2,55.7,28.4,43.9,39.9,40.3,63,10.7,53.2,69.9,28.1,42.4,21.2,85.5,58.8,15.1,0,4.6,13.1,54.6,,50.1,53.2,79.3,35.2,17.7,35,40.2,26.2,24.7,42.8,,33.4,0,41.9,44.4,36.0,23.7
Girls Under Glass - We Feel Alright,4,47.2,5.4,0,38.1,31,1.9,0,0,84.1,41.9,20.3,24,9.2,24.7,19.5,56,35.2,45.1,40.7,28.1,41.5,76.4,17.8,23.1,56.2,50,44.4,11.9,38.5,43.5,6.8,0,2.9,4.5,34.6,,15.3,16.7,42.1,3.6,6.5,23.1,19.7,11.3,8.9,30.5,,38.9,0,41.3,36.3,26.1,20.3
Hollow Ground - Ill Fate,34.7,28.4,8.9,0,52.2,3.5,22.8,22.9,0,46.5,6.5,60.3,38.6,35.2,40.5,74.8,17.9,36.7,53,40.2,37.5,19.9,62.9,50.8,11.2,30.3,1.1,51.3,14.5,76.9,55.4,0.7,71.7,3.1,4.1,19.1,,37.7,50.2,40.2,39.7,5.5,49.4,31.7,7.2,12.5,13.9,5.6,31.3,49.6,31.1,30,30.8,21.2
James Elder & Mark M Thompson - The English Actor,8.4,45.8,20.3,0.8,20,31.9,23.4,14.6,2.5,61.2,12.6,32.5,12.1,0,9.3,6,1.5,18.1,32.1,66.9,0,26.5,40.5,36.6,8.7,24.7,25.4,11.4,6,57.2,38.3,22.9,0,6.8,13.7,37.7,,36.3,7.2,14.4,5.6,5,0,27,38.3,0,15.4,,14,0,10.7,15.9,19.3,16.8
Little Chicago's Finest - My Own,50.8,55,20,26.6,74.5,92.3,62.6,24,79,45.7,34.6,37.7,84.5,65.9,57.7,62.6,54,78.6,38.6,65.6,39.9,58.9,100,50.8,72.9,63.8,42,36.1,26.1,74.9,85.6,35.2,68.2,74.8,57.6,44.5,,61.5,65.2,54.5,19.8,72.5,37.7,78.9,91,7.8,59.8,,30.8,13.2,34.7,50.8,54.4,21.9
M.E.R.C. Music - Knockout,42.1,48.3,23.7,49.3,78.1,25.4,75.5,9.6,3.2,79.6,58.7,41,43.6,56.5,41.4,31.9,43,45,26.5,43.1,26.6,39,68.4,50.8,37.7,26.8,66,30.5,16.2,68.6,74.8,38.4,61.2,33.9,44.7,65,,29,18.9,69.2,57.1,7.3,30.2,59.9,99.7,33.3,23.1,,27,55.4,92.3,56.2,45.5,21.7
Moosmusic - Big Dummy Shake,37.7,54.4,20.1,10.2,19.3,64.4,12.7,6.3,0,36.5,33.6,14.2,28.1,40.3,0,10.3,38,19.8,30.3,67.3,9,33.8,44.7,65.9,46.8,44.3,27.1,44.7,9.5,55.7,70.9,42,0,7.8,19.5,28.8,,15.5,20.1,35.3,3.2,3.9,1.3,31.6,46.9,0,16.7,,70.6,0,37.9,18.4,27.9,20.7
Motor Tapes - Shore,38.5,55,4.2,2.2,36.7,76.1,22.7,20.4,0,93.2,6.2,38.3,54.6,41,50.8,34.1,65.1,41.1,52.2,70.6,20.3,46.5,18.7,19.5,74.3,55.8,69.7,16.7,17.3,54.3,46.8,62.7,0,28.3,19.2,38.4,,2.9,23.3,23.3,34.1,11.7,41.6,84.8,77.1,7.8,59.9,,46.9,0,72.8,59.4,38.7,25.1
Mu - Too Bright,42.7,53.1,15.1,20.5,80.9,55.3,20.5,20.6,0,56.3,35.5,11.5,59.6,33.1,57.7,24.7,67,29.2,61.1,68.1,44.9,54.8,100,29.3,84,26.9,51,22.1,10.3,59.2,38.6,36.9,0,23.6,74.9,11.9,35.5,12.2,29.5,40.8,13.7,42,33.2,24,6.5,44.4,18.4,,44.9,0,77.3,17.6,37.7,23.7
Nerve 9 - Pray For The Rain,16.6,55.3,15.4,23,59.3,83,35.2,0,0,76.9,4.3,56.2,61.2,26.9,42.8,29.6,32.9,28.8,29.8,33.7,37,65.6,33.3,61.9,29.7,55.7,77.1,23.9,18.6,61,45.4,14.8,0,41.4,37.1,47,,7,13.1,30.2,41.1,6.3,35.2,26.6,56.1,5.4,26.1,0,62.3,0,30.2,27,33.9,22.1
PR - Happy Daze,48.2,44,22.9,51.1,58.8,85.6,25.7,0.7,0,91.7,36.6,70.6,71,40.3,40.5,38.7,59.4,34.7,12.2,71.6,65.6,58,100,73.1,58.5,61.2,66.8,36.9,16.8,85,47.6,46.7,0,30.7,78.2,44.2,,43.6,18.7,75.6,26.7,17.7,39.2,68.4,56.9,79.5,53.8,,75.1,21.2,68.4,41.2,49.2,24.5
PR - Oh No,50,53.9,24.4,22.6,69.3,96.7,100,32.1,90.3,94.1,81.7,87.5,89.8,57,90,88.4,66.3,53.8,55.3,65.3,77,50,66.3,100,62.1,63.5,83.7,50.2,47.9,77.7,73.9,39.6,85,42.4,24.8,55.9,,90.5,35.3,48.5,78.6,29,100,60.9,58.5,55.7,54.4,61.4,84,11.7,72,74,64.4,22.6
Raft Monk – Tiring,1.2,12.6,13.4,0,20.8,4.5,5.4,0,0,68.8,10.9,12.6,1.5,4.9,0.1,11.8,7,16.2,71.1,31,24,16.4,8.7,72.8,12,30.1,3.2,42.5,21.5,34,9.5,1,0,4.8,1.7,24.9,,0.6,5.2,42.2,4.9,2.9,20.6,4.9,11.8,1.6,19,3.5,19.8,0,20.1,9.3,15.0,17.8
Side Effects Project - Sing With Me,19.5,54.9,5.7,23.5,52.4,85.3,75.6,29,6.2,88.1,51,62,25,41.7,28.7,27.8,76.5,44,92.2,57.6,34.5,55.3,25.4,92.2,59.1,60.5,73.7,24,14.8,78.1,68.1,7.4,0,16.5,28.4,54.3,,24.2,37.4,23.4,5.1,73,39.4,46.1,58.5,55.8,40.2,,78.4,33.9,75,64.3,45.9,25.4
Speak Softly - Broken Man,38.1,43.6,14.2,24.1,70.3,73.9,41.8,28.9,0,44.6,68.6,41.8,24.8,6.7,26.6,77.5,59.8,34.2,57.7,38.7,41.7,39.9,69.2,76.7,45,59.8,27.6,42.2,27.5,38.7,29.5,13.8,0,32.8,28.9,43.5,,27.5,15.1,81.5,31.5,21.3,42.1,46,6.9,57.9,23.9,,61.5,7.6,30.3,45.6,38.6,20.7
The Doppler Shift – Atrophy,42.2,47.5,14.8,36.5,46.3,43.4,34.7,17.5,0,97.1,20.2,69.8,90.3,66.3,50,72.1,59.9,52.8,70.5,57.2,23.7,67.5,43.6,97.7,51.5,80.2,25.6,45.7,28.7,86.9,77.5,74,47.2,68.8,29.2,43.8,,29.2,46.4,79.2,60.5,26.2,55.1,80,57.1,22.9,60.9,5.2,59,83.1,71.7,41.3,52.1,23.6
The Mountaineering Club - Mallory,76.5,24.4,33.9,49.5,68.2,94.5,94.6,17.8,3.8,85.4,91.3,41.2,53.8,52.6,42.1,66.5,90,88.7,77.4,80,56.5,69.7,70.3,92.9,82,33.3,73.2,42.4,52.7,72.7,63.8,84.2,69.9,64.3,61.2,64.8,,44.3,19.3,84.3,89,78.2,41.7,60.7,84.1,53.5,54.7,,63.4,86.9,85.9,94.8,64.5,22.5
The Sunshine Garcia Band - For I Am The Moon,50,52.5,9.6,12.1,25.5,33.3,30.7,17.9,0,67.6,34.3,13.4,23.9,53,89.4,49.7,58.3,44.9,44.1,36.8,35.5,63.4,18.7,82.2,56.2,43.6,35.7,33.8,21.2,59.7,67.6,12.6,0,26.1,28.3,35.5,,8.9,10.3,72.6,16,17.1,37.9,35.2,14.1,56.2,34.1,,80.4,18.7,38,21.9,36.6,21.9
Tom McKenzie - Directions,74.6,48.4,27.6,12.7,78.9,85.6,67.6,24.8,56.6,79.2,25.8,44.6,58.3,46.3,41,86.2,59.4,66,56.9,59.7,39.6,56.9,100,89.4,82.7,62.4,76.5,22.2,47.6,78.9,58.7,63.7,23.2,60.1,59.8,54,,8.1,25.9,71.8,53.3,43.7,29.9,30.8,98.2,93,68.8,,68.4,6.5,79.2,79.8,56.7,23.9
Triviul feat. The Fiend – Widow,50,38.1,13.9,0,74.8,83.7,69.8,26.6,0,90.3,17.5,45.7,17.6,21.9,40.7,13.5,54.1,27,38.9,64,38.8,74.2,21.5,0,65.9,14.4,24,39.4,5.5,68.7,66.4,10.6,0,34.7,12.2,26.8,59,38,12,47.7,7.3,3.9,36.1,65.2,22.1,4,59.8,7.1,59.2,0,43.3,37.4,34.5,25.2
